track_id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,emotion
5uGk3v4dLFzUfPpKdW1vDz,0.961,0.337,0.0337,0.879,0.101,-18.213,0.0475,162.457,0.0569,1
68ml3Lm4GNTlpNmmUJfvUu,0.000421,0.172,0.4,0.0334,0.111,-10.423,0.032,111.95,0.038,1
2n2Uugl3wR9s2pYjIKbbL9,0.602,0.23,0.154,0.0186,0.15,-15.714,0.036,144.692,0.137,1
3FmOCXB7Gj9931lGFXpWHl,0.423,0.538,0.265,0.927,0.191,-19.833,0.031,117.882,0.0377,1
3N5DU8yxyasg4hyHhIjNyz,0.448,0.484,0.363,0.962,0.0824,-12.149,0.0364,120.016,0.0325,1
7eIcp5Uw6w6Qd1iCmcTECM,0.901,0.233,0.0501,0.969,0.0915,-15.489,0.0538,85.786,0.0241,1
1Vya0Wd5w4HGeEvCipqg74,0.885,0.204,0.12,0.916,0.0965,-18.706,0.0378,88.786,0.0384,1
3kOLSO0EZvDZvJh1uX3J5X,0.955,0.568,0.331,0.327,0.15,-17.416,0.0445,75.87,0.305,1
1bBvch0ad2VfBuPUXJTV8I,0.951,0.311,0.181,0.886,0.152,-16.076,0.0496,75.865,0.031,1
4WiqPbWvLbv317E8fB4SJC,0.856,0.167,0.0721,0.265,0.0758,-19.221,0.0339,86.116,0.0388,1
0RK9q7CT0F8wRKVX4hlagk,0.849,0.277,0.244,0.855,0.129,-13.169,0.0295,75.703,0.0671,1
00De7REGurYkmfrKAh6CU1,0.51,0.218,0.104,0.692,0.0688,-22.809,0.047,114.592,0.0329,1
0nT8lBl2AN4EdvujYa5GmG,0.788,0.159,0.106,0.98,0.247,-33.767,0.0556,77.288,0.0331,1
2oZBR0rdkFfgkyQ4lVShfd,0.962,0.258,0.0706,0.781,0.107,-23.893,0.0414,117.755,0.0362,1
3FOhluDgeCoJDfc7vAISSo,0.0422,0.619,0.634,0.852,0.161,-8.365,0.0349,137.645,0.163,1
3EfXB0To1zCbgDgPkSt9pR,0.972,0.539,0.3,0.95,0.0737,-17.864,0.0476,120.007,0.0607,1
0UhDZa2lBi7iyKtWXpby59,0.642,0.562,0.12,0.892,0.107,-18.712,0.0288,98.888,0.0487,1
0LIc6Ktjr7XnwnRylXWSIM,0.942,0.68,0.08,0.645,0.0749,-13.763,0.063,119.647,0.0663,1
6xFK2P3LmaionULnNOOlqq,0.474,0.575,0.43,0.961,0.197,-14.234,0.0317,122.907,0.134,1
